date;Précipitations;Température minimale;Température maximale;Température moyenne
2015-01-01;1.8;-7.6;-3.0;-5.3
2015-01-02;0.0;-14.2;-3.4;-8.8
2015-01-03;20.0;-17.7;-8.5;-13.1
2015-01-04;27.2;-8.6;3.0;-2.8
2015-01-05;0.0;-17.9;-5.3;-11.6
2015-01-06;2.2;-19.1;-8.6;-13.9
2015-01-07;3.8;-26.4;-9.0;-17.7
2015-01-08;2.2;-27.5;-7.4;-17.5
2015-01-09;2.6;-14.6;-6.1;-10.4
2015-01-10;0.4;-13.4;-9.0;-11.2
2015-01-11;0.0;-12.2;-4.2;-8.2
2015-01-12;4.2;-16.9;-1.9;-9.4
2015-01-13;0.0;-23.1;-17.0;-20.1
2015-01-14;0.0;-23.3;-14.4;-18.9
2015-01-15;0.8;-20.8;-4.7;-12.8
2015-01-16;1.4;-20.2;-2.4;-11.3
2015-01-17;0.0;-23.9;-14.9;-19.4
2015-01-18;5.0;-15.2;2.7;-6.3
2015-01-19;1.0;-13.6;1.4;-6.1
2015-01-20;0.0;-18.3;-13.7;-16.0
2015-01-21;0.0;-20.8;-10.6;-15.7
2015-01-22;0.0;-18.1;-9.3;-13.7
2015-01-23;0.0;-12.3;-0.2;-6.3
2015-01-24;0.4;-2.9;-0.7;-1.8
2015-01-25;0.0;-17.8;-1.6;-9.7
2015-01-26;0.0;-21.6;-14.5;-18.1
2015-01-27;0.0;-16.2;-9.6;-12.9
2015-01-28;0.0;-15.2;-8.6;-11.9
2015-01-29;3.4;-16.2;-0.2;-8.2
2015-01-30;4.8;-18.6;-2.1;-10.4
2015-01-31;0.0;-22.8;-14.7;-18.8
2015-02-01;0.0;-20.2;-14.2;-17.2
2015-02-02;6.8;-22.5;-17.3;-19.9
2015-02-03;0.6;-24.4;-8.5;-16.5
2015-02-04;6.4;-9.5;-3.7;-6.6
2015-02-05;0.2;-22.2;-7.1;-14.7
2015-02-06;2.4;-24.3;-9.9;-17.1
2015-02-07;0.2;-17.8;-12.5;-15.2
2015-02-08;8.6;-18.5;-13.9;-16.2
2015-02-09;0.4;-15.6;-11.7;-13.7
2015-02-10;0.2;-14.8;-7.1;-11.0
2015-02-11;2.2;-17.4;-11.1;-14.3
2015-02-12;5.0;-18.1;-7.4;-12.8
2015-02-13;0.0;-23.7;-18.0;-20.9
2015-02-14;1.2;-20.8;-13.9;-17.4
2015-02-15;0.0;-21.9;-13.9;-17.9
2015-02-16;0.0;-24.1;-16.3;-20.2
2015-02-17;0.0;-24.2;-13.0;-18.6
2015-02-18;0.2;-21.6;-7.0;-14.3
2015-02-19;6.0;-18.5;-8.0;-13.3
2015-02-20;1.6;-19.6;-14.6;-17.1
2015-02-21;4.0;-17.5;-7.6;-12.6
2015-02-22;1.2;-11.6;-3.6;-7.6
2015-02-23;0.0;-24.6;-11.1;-17.9
2015-02-24;0.0;-25.4;-8.7;-17.1
2015-02-25;0.6;-17.6;-4.6;-11.1
2015-02-26;0.0;-21.5;-12.7;-17.1
2015-02-27;0.0;-21.8;-9.5;-15.7
2015-02-28;0.0;-17.0;-5.5;-11.3
2015-03-01;0.2;-17.3;-3.4;-10.4
2015-03-02;1.0;-11.9;-2.4;-7.2
2015-03-03;6.0;-19.1;-3.7;-11.4
2015-03-04;0.0;-5.8;1.9;-2.0
2015-03-05;0.4;-18.6;-5.8;-12.2
2015-03-06;0.0;-20.6;-6.9;-13.8
2015-03-07;0.4;-13.3;-2.3;-7.8
2015-03-08;0.8;-6.4;-0.3;-3.4
2015-03-09;1.8;-3.5;2.5;-0.5
2015-03-10;0.0;-4.1;7.8;1.9
2015-03-11;0.0;-0.3;7.8;3.8
2015-03-12;0.0;-8.8;-0.3;-4.6
2015-03-13;0.0;-10.0;-2.0;-6.0
2015-03-14;9.0;-3.3;0.3;-1.5
2015-03-15;2.0;-8.1;0.0;-4.1
2015-03-16;0.0;-11.4;2.3;-4.6
2015-03-17;1.8;-7.8;1.4;-3.2
2015-03-18;0.0;-11.8;-5.1;-8.5
2015-03-19;0.0;-12.8;-1.9;-7.4
2015-03-20;0.0;-9.9;3.2;-3.4
2015-03-21;7.4;-10.3;1.8;-4.3
2015-03-22;0.0;-15.4;-8.9;-12.2
2015-03-23;0.0;-15.9;-6.1;-11.0
2015-03-24;0.0;-12.9;-0.4;-6.7
2015-03-25;0.6;-8.7;6.9;-0.9
2015-03-26;1.4;1.0;5.3;3.2
2015-03-27;3.4;-5.5;2.2;-1.7
2015-03-28;0.0;-9.3;-1.8;-5.6
2015-03-29;0.0;-9.8;3.3;-3.3
2015-03-30;2.0;-0.7;4.0;1.7
2015-03-31;0.0;-4.9;2.2;-1.4
